Album,Artist,Genre,Filename,,,,Length,,,
Seoulite,LEE HI,Kpop,OFFICIAL,,,,210,,,
Hidden,K.A.R.D,Kpop,Oh NaNa,,,,213,,,
NCT 127,NCT 127,Kpop,Once Again,,,,189,,,
,JHMJams,Pop,ONE SHOT TWO SHOT(JHMJams),,,,293,,,
One Shot Two Shot,BoA,Kpop,ONE SHOT,,,,211,,,
Kurzgesagt,Epic Mountain,EDM,Optimistic Nihilism,,,,373,,,
Samsung,Dirty Loops,Jazz,Over the Horizon 2016,,,,254,,,
Samsung,Jacob Collier,Jazz,Over The Horizon 2017,,,,204,,,
Overdose,EXO,Kpop,Overdose (Instrumental),,,,206,,,
Overdose,EXO,Kpop,Overdose,,,,261,,,
Pacific Rim OST,Ramin Djawadi,Film,Pacific Rim Main Theme,,,,295,,,
4 Walls,f(x),Kpop,Papi,,,,187,,,
More Life,John Mayer,Pop,Passionfruit Acoustic Drake Cover,,,,161,,,
More Life,Drake,Rap,Passionfruit,,,,299,,,
Perfect Velvet,Red Velvet,Kpop,Peek-A-Boo Instrumental,,,,190,,,
Perfect Velvet,Red Velvet,Kpop,Peek-A-Boo,,,,190,,,
PICK ME,Produce 101 BOYS,Kpop,PICK ME,,,,251,,,
,Riot Games,EDM,Piercing Light Mako Remix,,,,292,,,
Square Two,Blackpink,Kpop,Playing With Fire,,,,194,,,
Luke Cage Season 1 OST,Adrian Younge & Ali Shaheed Muhammad,,Pops Is Gone,,,,169,,,
130 Mood : TRBL,Dean,Kpop,Pour Up,,,,214,,,
Press It,Taemin,Kpop,Press Your Number,,,,288,,,
Exit : E,Winner,Kpop,Pricked,,,,232,,,
1 of 1,SHINee,Kpop,Prism,,,,193,,,
Reloaded,Luhan,Kpop,Promises 诺言,,,,192,,,
Iron,Jimin,Kpop,C:\Users\tnint_000\Music\,,,,2015,,,Puss
Rain,Taeyeon,Kpop,Rain,,,,223,,,
The MOBB,Bobby,Kpop,Raise your guard and Bounce,,,,182,,,
Spring,AKMU,Kpop,Re-Bye,,,,189,,,
#Cookie Jar,Red Velvet,Kpop,Red Velvet -#Cookie Jar- MV-rRgTMs_bGuI,,,,225,,,
Remember,KATIE,Kpop,Remember,,,,188,,,
Welcome Back,IKON,Kpop,RHYTHM TA 리듬 타,,,,242,,,
Coming To You Live,DPR LIVE,Kpop,Right Here Right Now,,,,215,,,
Rise,Taeyang,Kpop,RINGA LINGA,,,,228,,,
A+,Hyuna,Kpop,Roll Deep 잘나가서 그래,,,,209,,,
The Most Beautiful Moment in Life,BTS,Kpop,,,,,,,,
Russian Roulette,Red Velvet,Kpop,Russian Roulette,,,,212,,,
The Most Beautiful Moment in Life: Young Forever,BTS,Kpop,Save Me (INSTRUMENTAL),,,,197,,,
The Most Beautiful Moment in Life: Young Forever,BTS,Kpop,SAVE ME,,,,199,,,
Solitary Goodbye,Taemin,Pop,Sayonara Hitori さよならひとり,,,,241,,,
Secret Time,Spica,Kpop,Secret Time,,,,179,,,
,Seohyun,Kpop,,,,,,,,
Exit : E,Winner,Kpop,Sentimental(센치해),,,,208,,,
Divide,Ed Sheeran,Pop,Shape Of You (Stormzy Remix),,,,232,,,
Divide,Ed Sheeran,Pop,Shape Of You,,,,1,,,
Sherlock,SHINee,Kpop,Sherlock 셜록,,,,231,,,
Five,SHINee,Pop,SHINee（シャイニー） - 「Get The Treasure」 Music Video(full ver.)-P4Qyk9IBI2s,,,,239,,,
And July,Heize,Kpop,Shut Up & Groove,,,,201,,,
Noir,B.A.P,Kpop,Skydive,,,,237,,,
The Most Beautiful Moment in Life: Young Forever,BTS,Kpop,Sliver Spoon 뱁새,,,,234,,,
Songify the News,schmoyoho,Comedy,Smoking Crayfish & Gay Marriage,,,,218,,,
Agust D,Agust D,Kpop,So Far Away,,,,359,,,
MADE,BIGBANG,Kpop,SOBER,,,,245,,,
Solo,Jay Park,Kpop,Solo,,,,220,,,
Sorry Sorry,Super Junior,Kpop,Sorry Sorry,,,,235,,,
SSENUNNI,Jessi,Kpop,SSENUNNI  쎈언니,,,,179,,,
Why,Taeyeon,Kpop,Starlight,,,,260,,,
Square Two,Blackpink,Kpop,Stay,,,,235,,,
Season 2,ERB,Rap,Steve Jobs vs Bill Gates,,,,168,,,
Bleached,Loco,Kpop,Still,,,,293,,,
The Clan Pt. 1 Lost,Monsta X,Kpop,Stuck,,,,226,,,
Sweet Dream,MFBTY,Kpop,Sweet Dream,,,,230,,,
Captain America The Winter Soldier OST,Henry Jackman,Film,Taking A Stand,,,,133,,,
Melting,MAMAMOO,Kpop,Taller than You,,,,188,,,
The Matrix Revolutions-,Juno Reactor,Film,Tetsujin,,,,201,,,
Reloaded,Luhan,Pop,That Good Good 有点儿意思,,,,204,,,
The 7th Sense,NCT U,Kpop,The 7th Sense (Instrumental),,,,221,,,
The 7th Sense,NCT U,Kpop,The 7th Sense 번째 감각,,,,219,,,
The Avengers Soundtrack,Alan Silvestri,Film,The Avengers,,,,124,,,
The Dark Knight Returns OST,Christopher Drake,Film,The Dark Knight Triumphant_ End titles - The Dark Knight Returns OST,,,,309,,,
INFINITE ONLY,INFINITE,Kpop,The Eye,,,,242,,,
